id,Weight_PID,xspanish,complete_status,ppage,ppeduc5,ppeducat,ppgender,ppethm,pphhsize,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppstaten,PPWORKA,ppemploy,xparent,Q1_1,Q1_2,Q2,Q3,Q4,Q5,Q6,Q260,Q26a,QPID,ABCAGE,Contact
257000001,.9237,English,qualified,64,Bachelor’s degree,Bachelors degree or higher,Female,"Black, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Georgia,Homemaker,Not working,missing data,Unfavorable,No opinion,Very serious,Should,No,Should,Don’t know,Other Christian religion,Yes,An Independent,50-64,"No, I am not willing to be interviewed"
257000002,1.0452,English,qualified,69,Some college or Associate degree,Some college,Female,"Black, Non-Hispanic",1,"$25,000 to $49,999",Divorced,Metro,South,Owned or being bought by you or someone in your household,Texas,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Not so confident,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,A Democrat,65+,"No, I am not willing to be interviewed"
257000003,.446,English,qualified,73,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$150,000 or more",Widowed,Metro,West,Owned or being bought by you or someone in your household,Idaho,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Somewhat confident,No religion, ,A Democrat,65+,"No, I am not willing to be interviewed"
257000004,1.016,English,qualified,53,Some college or Associate degree,Some college,Male,"Other, Non-Hispanic",Six or more,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Not so confident,Catholic,No,An Independent,50-64,"Yes, I am willing to be interviewed"
257000005,.6396,English,qualified,75,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,A Republican,65+,"No, I am not willing to be interviewed"
257000006,1.2411,English,qualified,56,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",3,"$50,000 to $74,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Arkansas,Employed part-time (by someone else),Working part-time,not parents of children 0-17 YO,Unfavorable,No opinion,Not too serious,Should not,Yes,Don’t know,Not so confident,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,A Democrat,50-64,"No, I am not willing to be interviewed"
257000007,.4041,English,qualified,75,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Utah,Retired,Not working,not parents of children 0-17 YO,Unfavorable,No opinion,Very serious,Should,No,Should,Somewhat confident,Catholic,No,An Independent,65+,"No, I am not willing to be interviewed"
257000008,.5533,English,qualified,80,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Nevada,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Somewhat serious,Don’t know,Yes,Should,Not so confident,Catholic,No,An Independent,65+,"No, I am not willing to be interviewed"
257000009,.6677,English,qualified,50,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",4,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,Arizona,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,Favorable,Unfavorable,Don’t know,Should not,Yes,Should not,Not confident at all,No religion, ,An Independent,50-64,"No, I am not willing to be interviewed"
257000010,1.5472,English,qualified,43,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",Six or more,"$100,000 to $149,999",Never married,Non-Metro,MidWest,Rented for cash,Missouri,Homemaker,Not working,not parents of children 0-17 YO,Unfavorable,No opinion,Very serious,Should,Don’t know,Should,Don’t know,No religion, ,An Independent,30-49,"Yes, I am willing to be interviewed"
257000011,.7926,English,qualified,68,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Missouri,Retired,Not working,not parents of children 0-17 YO,No opinion,Unfavorable,Somewhat serious,Should not,Yes,Don’t know,Not confident at all,Catholic,Yes,An Independent,65+,"No, I am not willing to be interviewed"
257000012,.8352,English,qualified,70,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Retired,Not working,not parents of children 0-17 YO,Don’t know,Unfavorable,Somewhat serious,Don’t know,Yes,Should not,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,A Republican,65+,"No, I am not willing to be interviewed"
257000013,.8601,English,qualified,32,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",2,"$150,000 or more",Separated,Metro,NorthEast,Owned or being bought by you or someone in your household,Massachusetts,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Very confident,Catholic,No,An Independent,30-49,"No, I am not willing to be interviewed"
257000014,.6033,English,qualified,68,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",3,"$150,000 or more",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Minnesota,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Very confident,Buddhist, ,A Democrat,65+,"No, I am not willing to be interviewed"
257000015,.4564,English,qualified,83,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Very confident,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,A Democrat,65+,"No, I am not willing to be interviewed"
257000016,.8104,English,qualified,66,High school graduate (high school diploma or the equivalent GED),High school,Male,"Other, Non-Hispanic",1,"$25,000 to $49,999",Widowed,Metro,South,Rented for cash,Maryland,Employed part-time (by someone else),Working part-time,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not so confident,Catholic,No,Something else,65+,"Yes, I am willing to be interviewed"
257000017,.6495,English,qualified,65,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",3,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Virginia,Employed full-time (by someone else),Working full-time,not parents of children 0-17 YO,Unfavorable,Unfavorable,Somewhat serious,Don’t know,Yes,Should not,Not so confident,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,A Republican,65+,"No, I am not willing to be interviewed"
257000018,.526,English,qualified,78,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",1,"$10,000 to $24,999",Widowed,Metro,West,Owned or being bought by you or someone in your household,Arizona,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Not serious at all,Should not,Yes,Should not,Not confident at all,Other Christian religion,No,An Independent,65+,"No, I am not willing to be interviewed"
257000019,.9486,English,qualified,55,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",2,"Less than $10,000",Never married,Metro,West,Owned or being bought by you or someone in your household,California,Self-employed,Working part-time,not parents of children 0-17 YO,No opinion,Unfavorable,Not too serious,Should not,Yes,Should not,Not confident at all,Jewish, ,An Independent,50-64,"No, I am not willing to be interviewed"
257000020,.9564,English,qualified,46,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",3,"$150,000 or more",Now Married,Metro,MidWest,Owned or being bought by you or someone in your household,Kansas,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,Unfavorable,Unfavorable,Very serious,Should,No,Should,Not so confident,Mormon,No,An Independent,30-49,"Yes, I am willing to be interviewed"
257000021,.6545,English,qualified,70,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",1,"$25,000 to $49,999",Never married,Metro,NorthEast,Owned or being bought by you or someone in your household,Pennsylvania,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Somewhat serious,Should not,Yes,Should not,Not confident at all,Catholic,No,A Republican,65+,"Yes, I am willing to be interviewed"
257000022,2.1594,English,qualified,21,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",4,"$25,000 to $49,999",Never married,Non-Metro,South,Owned or being bought by you or someone in your household,South Carolina,Full Time Student,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,Don’t know,Should,Don’t know,Unitarian (Universalist), ,A Democrat,18-29,"Yes, I am willing to be interviewed"
257000023,.77,English,qualified,44,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",4,"$150,000 or more",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,New York,Employed full-time (by someone else),Working full-time,parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should not,Somewhat confident,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",No,An Independent,30-49,"No, I am not willing to be interviewed"
257000024,.5911,English,qualified,85,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$25,000 to $49,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Very serious,Should,Don’t know,Should,Not confident at all,No religion, ,An Independent,65+,"No, I am not willing to be interviewed"
257000025,.618,English,qualified,59,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,California,Retired,Not working,not parents of children 0-17 YO,Unfavorable,No opinion,Very serious,Should,No,Don’t know,Not so confident,Catholic,No,A Democrat,50-64,"Yes, I am willing to be interviewed"
257000026,.677,English,qualified,43,Some college or Associate degree,Some college,Female,"White, Non-Hispanic",5,"$150,000 or more",Now Married,Metro,West,Owned or being bought by you or someone in your household,Utah,Homemaker,Not working,parents of children 0-17 YO,Unfavorable,No opinion,Very serious,Should,No,Should,Don’t know,Mormon,No,Something else,30-49,"No, I am not willing to be interviewed"
257000027,.7023,English,qualified,76,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$50,000 to $74,999",Now Married,Metro,South,Owned or being bought by you or someone in your household,Florida,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Somewhat serious,Should not,Yes,Should,Not confident at all,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Christ, etc.)",Yes,An Independent,65+,"Yes, I am willing to be interviewed"
257000028,1.1831,English,qualified,66,Bachelor’s degree,Bachelors degree or higher,Female,Hispanic,2,"$150,000 or more",Divorced,Metro,South,Owned or being bought by you or someone in your household,Georgia,Currently laid off,Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Very confident,Other Christian religion,No,An Independent,65+,"Yes, I am willing to be interviewed"
257000029,1.2647,English,qualified,33,Some college or Associate degree,Some college,Female,"Black, Non-Hispanic",5,"$75,000 to $99,999",Never married,Metro,South,Owned or being bought by you or someone in your household,South Carolina,Employed part-time (by someone else),Working part-time,parents of children 0-17 YO,Unfavorable,Favorable,Very serious,Should,No,Should,Not so confident,No religion, ,A Democrat,30-49,"No, I am not willing to be interviewed"
257000030,.6701,English,qualified,63,Bachelor’s degree,Bachelors degree or higher,Female,"White, Non-Hispanic",2,"$75,000 to $99,999",Now Married,Metro,MidWest,Rented for cash,Indiana,Employed part-time (by someone else),Working part-time,not parents of children 0-17 YO,Unfavorable,Unfavorable,Don’t know,Don’t know,Don’t know,Should,Not confident at all,Catholic,No,An Independent,50-64,"No, I am not willing to be interviewed"
257000031,.7303,English,qualified,49,Some college or Associate degree,Some college,Male,"White, Non-Hispanic",2,"$100,000 to $149,999",Now Married,Non-Metro,West,Owned or being bought by you or someone in your household,Colorado,Self-employed,Working full-time,not parents of children 0-17 YO,Unfavorable,Unfavorable,Don’t know,Should not,Yes,Should not,Not confident at all,Other non-Christian religion, ,An Independent,30-49,"No, I am not willing to be interviewed"
