respo,project,samptype,date8,night,nights,tele_7,survlgth,times,intrace,intgend,s_samptype,s_market,intro3,cell1,qs1,qa1,q921,q1half,dcdir,dcdirnew,q1aq1bnet,mainproblem,bowserappfull,bowsernet,q4_half,h_qord_q4a_q4f_q4a,h_qord_q4a_q4f_q4b,h_qord_q4a_q4f_q4c,h_qord_q4a_q4f_q4d,h_qord_q4a_q4f_q4e,h_qord_q4a_q4f_q4f,bowsercrime,q4anet,bowserhomeless,q4bnet,bowserpandemic,q4cnet,bowserhousing,q4dnet,bowserschools,q4enet,bowsersaferoads,q4fnet,regvoter,regparty,chancevote,h_aord_q7_1,h_aord_q7_2,h_aord_q7_3,q7,h_aord_q8_1,h_aord_q8_2,h_aord_q8_3,q8,mayor22,h_qord_q9a_q9d_q9a,h_qord_q9a_q9d_q9b,h_qord_q9a_q9d_q9c,h_qord_q9a_q9d_q9d,bowserfav,robertwhitefav,trayonwhitefav,mendfav,bowserrestrictions,vaccinemandate,vaccine,ratedcps,ratedcpsnet,parents,kidschool,q15,q14q15net,rateyourdcps,q16net,schoolspandemic,q17net,h_aord_q18_1,h_aord_q18_2,remoteschool,ratepolice,q13bnet,hoodsafe,q19net,crimevictim,q20net,q21_half,h_qord_q21a_q21d_q21a,h_qord_q21a_q21d_q21b,h_qord_q21a_q21d_q21c,h_qord_q21a_q21d_q21d,morepolice,q21anet,violenceinterruptors,q21bnet,econopportunity,q21cnet,gunsentences,q21dnet,homelesscamps,leavedc,leavedcwhere,leavedcfull,leavedcreason,affordhood,q24net,commandersname,q28net,choosename,h_aord_q30_1,h_aord_q30_2,fundfootballstadium,quad,quad2,q909,q909a,edubreak,colleduc,educnew,q910,q910a,agebreak,q918,racenet,income,income2,q29x,l1,c1,phonstat,q924,sex,lang,SITE,INT_Location,weight,allresp,white,age3anew,age50,college,income50,income3,income75,income4,racesex,raceeduc,raceinc,wardnew,kidschoolnet,survey,livedc,wardnew2
236,29242-1001,LANDLINE RDD,20220203,2nd night,13,1702,29.1312666666667,1,Black,Female,1,Wash DC,Continue, , ,Yes,Female,Q1b, ,Wrong track,wrong track NET,Traffic/road quality/parking problems/infrastructure,Disapprove SOMEWHAT,disapprove NET,Q4A-Q4C,3,1,2, , , ,Not-so-good job,Not-so-good/poor job NET,Not-so-good job,Not-so-good/poor job NET,Excellent job,Excellent/Good job NET, , , , , , ,"Yes, registered",Democrat,Very likely to vote,Trayon White,Robert White,Muriel Bowser,Robert White, , , , ,Robert White,3,1,4,2,Don't know enough to say,Favorable,Don't know enough to say,Favorable,Right amount,Support,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,2,1, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , , , ,Support,(VOL) DK/No opinion, ,DK/No opinion, ,Very easy,Easy NET,Like it,Like NET,the Washington Football Team,Favor,Oppose,(VOL) DK/No Opinion,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,77, ,Age 65+,White,white,50 to under 75 thousand, ,60,"Yes, respondent or someone in household has cell phone", ,Dual Service,female,Female,English,FL,Virtual Call Center,.3143568,All adults,White,Age 65+,50+,College,$50K+,$50-$100K,Income <$75K,$50-$100K,White women,White college,White $50K+,98,No kids at home,20210214,20+ years, 
281,29242-1001,LANDLINE RDD,20220203,2nd night,13,1841,11.4290166666667,1,White,Male,1,Wash DC,Continue, , ,Yes,Female,Q1b, ,Right direction,right direction NET,No opinion,Approve SOMEWHAT,approve NET,Q4D-Q4F, , , ,3,2,1, , , , , , ,Poor job,Not-so-good/poor job NET,(VOL) DK/No Opinion,DK/No opinion,Good job,Excellent/Good job NET,"Yes, registered",Independent, , , , , , , , , , ,2,4,3,1,Favorable,Don't know enough to say,Don't know enough to say,Don't know enough to say,Right amount,Support,Yes,(VOL) DK/No Opinion,DK/No opinion,No, , , , , , , , , , ,Good,Excellent/Good  NET,Very safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,1, ,2,3,"Would reduce crime, A LOT",Would reduce crime NET, , ,"Would reduce crime, A LOT",Would reduce crime NET,(VOL) NA/Refused, ,(VOL) DK/No Opinion,No, ,Would not move, ,Very difficult,Difficult NET,(VOL) NA/Refused, ,the Washington Football Team,Oppose,Favor,Oppose,Northwest, ,Graduated college,Bachelors degree,some college +,college degree,college degree,80, ,Age 65+,White,white,(VOL) NA/Refused, ,35,"Yes, respondent or someone in household has cell phone", ,Dual Service,female,Female,English,FL,Virtual Call Center,.731559,All adults,White,Age 65+,50+,College, , , , ,White women,White college, ,1,No kids at home,20210214,20+ years,Ward 1/4
356,29242-1001,LANDLINE RDD,20220214,13th night,13,2010,13.1673333333333,4,Other race,Female,1,Wash DC,Continue, , ,Yes,Female,Q1a,Right direction, ,right direction NET,Poverty/homelessness,Approve SOMEWHAT,approve NET,Q4D-Q4F, , , ,3,1,2, , , , , , ,Not-so-good job,Not-so-good/poor job NET,Not-so-good job,Not-so-good/poor job NET,Good job,Excellent/Good job NET,"Yes, registered",Democrat,Very likely to vote,Muriel Bowser,Trayon White,Robert White,Muriel Bowser, , , , ,Muriel Bowser,2,4,1,3,Favorable,Unfavorable,Don't know enough to say,Unfavorable,Right amount,Support,Yes,Not so good,Not-so-good/poor  NET,No, , , , , , , , , , ,Not so good,Not-so-good/poor  NET,Very safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,1, ,2,3,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , ,(VOL) DK/No Opinion,DK/No opinion,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,Support,No, ,Would not move, ,Somewhat easy,Easy NET,Dislike it,Dislike NET,(VOL) DK/No Opinion,Favor,Oppose,Oppose,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,70, ,Age 65+,White,white,(VOL) NA/Refused, ,30,"Yes, respondent or someone in household has cell phone", ,Dual Service,female,Female,English,FL,Virtual Call Center,.3143568,All adults,White,Age 65+,50+,College, , , , ,White women,White college, ,3,No kids at home,20210214,20+ years,Ward 2/3
375,29242-1001,LANDLINE RDD,20220211,10th night,13,1937,13.9096333333333,3,White,Female,1,Wash DC,Continue, , ,Yes,Male,Q1a,Right direction, ,right direction NET,Crime/violence/guns,Approve SOMEWHAT,approve NET,Q4D-Q4F, , , ,2,1,3, , , , , , ,Not-so-good job,Not-so-good/poor job NET,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,"Yes, registered",Republican, , , , , , , , , , ,4,3,1,2,Favorable,Don't know enough to say,Unfavorable,Don't know enough to say,Right amount,Support,Yes,Not so good,Not-so-good/poor  NET,No, , , , , , , , , , ,Not so good,Not-so-good/poor  NET,No too safe,not too/not safe at all NET,No,Not victim of violent crime,Q20B-Q20C ASKED,2,1, , ,"Would reduce crime, A LOT",Would reduce crime NET,Would not reduce crime,Would not reduce crime, , , , ,Support,No, ,Would not move, ,Somewhat difficult,Difficult NET,Hate it,Dislike NET,the Redskins,Oppose,Favor,Favor,Northwest, ,Graduated college,Bachelors degree,some college +,college degree,college degree,53, ,Age 50-64,White,white,50 to under 75 thousand, ,30,"Yes, respondent or someone in household has cell phone", ,Dual Service,male,Male,English,FL,Virtual Call Center,.6642075,All adults,White,Age 40-64,50+,College,$50K+,$50-$100K,Income <$75K,$50-$100K,White men,White college,White $50K+,4,No kids at home,20210214,20+ years,Ward 1/4
424,29242-1001,LANDLINE RDD,20220211,10th night,13,1918,11.2086166666667,4,White,Female,1,Wash DC,Continue, , ,Yes,Male,Q1b, ,Wrong track,wrong track NET,Housing costs/low-income housing/more affordable housing,Approve SOMEWHAT,approve NET,Q4D-Q4F, , , ,1,3,2, , , , , , ,Poor job,Not-so-good/poor job NET,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,"Yes, registered",Democrat,Absolutely certain to vote,Muriel Bowser,Robert White,Trayon White,Muriel Bowser, , , , ,Muriel Bowser,4,2,1,3,Favorable,Favorable,Unfavorable,Favorable,Right amount,Support,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Not so good,Not-so-good/poor  NET,No too safe,not too/not safe at all NET,No,Not victim of violent crime,Q20B-Q20C ASKED,2,1, , ,"Would reduce crime, A LOT",Would reduce crime NET,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , , , ,Oppose,No, ,Would not move, ,Very difficult,Difficult NET,Like it,Like NET,the Commanders,Oppose,Favor,Oppose,Northwest, ,Graduated college,Bachelors degree,some college +,college degree,college degree,66, ,Age 65+,White,white,(VOL) NA/Refused, ,30,"Yes, respondent or someone in household has cell phone", ,Dual Service,male,Male,English,FL,Virtual Call Center,.3195358,All adults,White,Age 65+,50+,College, , , , ,White men,White college, ,98,No kids at home,20210214,20+ years, 
676,29242-1001,LANDLINE RDD,20220203,2nd night,13,1624,16.7914833333333,2,Black,Female,1,Wash DC,Continue, , ,Yes,Male,Q1b, ,(VOL)  DK/No Opinion,DK/No opinion,Improve city government/increase efficiency,Approve SOMEWHAT,approve NET,Q4A-Q4C,3,1,2, , , ,Good job,Excellent/Good job NET,Not-so-good job,Not-so-good/poor job NET,Good job,Excellent/Good job NET, , , , , , ,"Yes, registered",Democrat,Very likely to vote,Trayon White,Robert White,Muriel Bowser,(VOL) DK/No Opinion,Trayon White,Robert White,Muriel Bowser,(VOL) Neither/None,None,4,3,2,1,Favorable,Don't know enough to say,Don't know enough to say,Unfavorable,Right amount,Support,Yes,Not so good,Not-so-good/poor  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,Very safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,1,2, , ,Would not reduce crime,Would not reduce crime,(VOL) DK/No Opinion,DK/No opinion, , , , ,(VOL) DK/No Opinion,No, ,Would not move, ,Somewhat easy,Easy NET,(VOL) DK/No Opinion,DK/No opinion,(VOL) DK/No Opinion,Favor,Oppose,Oppose,Southeast,West,Post graduate, ,some college +,college degree,post-graduate degree,76, ,Age 65+,White,white,100 thousand or more,250 thousand or more,51,"Yes, respondent or someone in household has cell phone", ,Dual Service,male,Male,English,FL,Virtual Call Center,.4103816,All adults,White,Age 65+,50+,College,$50K+,$100K+,Income $75K+,$200K+,White men,White college,White $50K+,6,No kids at home,20210214,20+ years,Ward 5/6
803,29242-1001,LANDLINE RDD,20220210,9th night,13,1922,11.0548333333333,2,White,Female,1,Wash DC,Continue, , ,Yes,Male,Q1b, ,Right direction,right direction NET,Crime/violence/guns,Disapprove STRONGLY,disapprove NET,Q4A-Q4C,1,3,2, , , ,Poor job,Not-so-good/poor job NET,Poor job,Not-so-good/poor job NET,Good job,Excellent/Good job NET, , , , , , ,"Yes, registered",Democrat,Absolutely certain to vote,Robert White,Muriel Bowser,Trayon White,Robert White, , , , ,Robert White,1,2,3,4,Unfavorable,Favorable,Unfavorable,Favorable,Too many,Support,Yes,Not so good,Not-so-good/poor  NET,No, , , , , , , , , , ,Not so good,Not-so-good/poor  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,1,2, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,Would not reduce crime,Would not reduce crime, , , , ,Support,No, ,Would not move, ,Very difficult,Difficult NET,Like it,Like NET,the Washington Football Team,Oppose,Favor,Favor,Southwest, ,Post graduate, ,some college +,college degree,post-graduate degree,76, ,Age 65+,Black,black,20 to under 35 thousand, ,57,"Yes, respondent or someone in household has cell phone", ,Dual Service,male,Male,English,FL,Virtual Call Center,.2923354,All adults,Non-white,Age 65+,50+,College,<$50K,<$50K,Income <$75K,<$50K,Nonwhite men,Black college,Black <$50K,6,No kids at home,20210214,20+ years,Ward 5/6
1020,29242-1001,LANDLINE RDD,20220214,13th night,13,1620,15.09435,4,Other race,Female,1,Wash DC,Continue, , ,Yes,Male,Q1b, ,Right direction,right direction NET,Crime/violence/guns,Approve STRONGLY,approve NET,Q4D-Q4F, , , ,2,1,3, , , , , , ,Good job,Excellent/Good job NET,(VOL) DK/No Opinion,DK/No opinion,Good job,Excellent/Good job NET,"Yes, registered",Democrat,Absolutely certain to vote,Robert White,Muriel Bowser,Trayon White,(VOL) DK/No Opinion,Robert White,Muriel Bowser,Trayon White,(VOL) DK/No Opinion,DK/No Opinion,4,1,2,3,(VOL) DK/No Opinion,(VOL) DK/No Opinion,(VOL) DK/No Opinion,(VOL) DK/No Opinion,(VOL) DK/No Opinion,Support,Yes,(VOL) DK/No Opinion,DK/No opinion,No, , , , , , , , , , ,Good,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20D-Q20E ASKED,2, ,3,1,Would not reduce crime,Would not reduce crime, , ,"Would reduce crime, A LOT",Would reduce crime NET,Would not reduce crime,Would not reduce crime,Support,No, ,Would not move, ,Very difficult,Difficult NET,(VOL) DK/No Opinion,DK/No opinion,(VOL) DK/No Opinion,Oppose,Favor,Oppose,Northeast,West,Graduated college,Bachelors degree,some college +,college degree,college degree,78, ,Age 65+,(VOL) NA/Refused, ,(VOL) NA/Refused, ,whole life,"Yes, respondent or someone in household has cell phone", ,Dual Service,male,Male,English,FL,Virtual Call Center,.3208493,All adults, ,Age 65+,50+,College, , , , , , , ,5,No kids at home,20210214,20+ years,Ward 5/6
1242,29242-1001,LANDLINE RDD,20220203,2nd night,13,2102,13.6104166666667,1,Black,Female,1,Wash DC,Continue, , ,Yes,Male,Q1a,Right direction, ,right direction NET,Safety for walking/biking/pedestrians,Approve STRONGLY,approve NET,Q4A-Q4C,3,1,2, , , ,Good job,Excellent/Good job NET,Good job,Excellent/Good job NET,Excellent job,Excellent/Good job NET, , , , , , ,"Yes, registered",Democrat,Absolutely certain to vote,Muriel Bowser,Robert White,Trayon White,Muriel Bowser, , , , ,Muriel Bowser,1,3,4,2,Favorable,Don't know enough to say,Don't know enough to say,Favorable,Right amount,Support,Yes,Good,Excellent/Good  NET,No, , , , , , , , , , ,Good,Excellent/Good  NET,Very safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,2,1, , ,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET,"Would reduce crime, JUST SOMEWHAT",Would reduce crime NET, , , , ,Support,No, ,Would not move, ,(VOL) DK/No Opinion,DK/No opinion,(VOL) DK/No Opinion,DK/No opinion,(VOL) DK/No Opinion,Favor,Oppose,Favor,Northwest, ,Post graduate, ,some college +,college degree,post-graduate degree,59, ,Age 50-64,White,white,100 thousand or more,250 thousand or more,20,"Yes, respondent or someone in household has cell phone", ,Dual Service,male,Male,English,FL,Virtual Call Center,.5745824,All adults,White,Age 40-64,50+,College,$50K+,$100K+,Income $75K+,$200K+,White men,White college,White $50K+,3,No kids at home,20210214,20+ years,Ward 2/3
1473,29242-1001,LANDLINE RDD,20220202,1st night,13,2049,33.0945666666667,1,Other race,Female,1,Wash DC,Continue, , ,Yes,Male,Q1a,(VOL)  DK/No Opinion, ,DK/No opinion,Crime/violence/guns,Disapprove SOMEWHAT,disapprove NET,Q4D-Q4F, , , ,3,2,1, , , , , , ,(VOL) DK/No Opinion,DK/No opinion,Not-so-good job,Not-so-good/poor job NET,Not-so-good job,Not-so-good/poor job NET,"Yes, registered",Democrat,Absolutely certain to vote,Muriel Bowser,Trayon White,Robert White,(VOL) DK/No Opinion,Muriel Bowser,Trayon White,Robert White,(VOL) DK/No Opinion,DK/No Opinion,1,2,3,4,(VOL) DK/No Opinion,(VOL) DK/No Opinion,(VOL) DK/No Opinion,(VOL) DK/No Opinion,(VOL) DK/No Opinion,Oppose,Yes,Poor,Not-so-good/poor  NET,No, , , , , , , , , , ,Excellent,Excellent/Good  NET,Somewhat safe,very/somewhat safe NET,No,Not victim of violent crime,Q20B-Q20C ASKED,1,2, , ,"Would reduce crime, A LOT",Would reduce crime NET,(VOL) DK/No Opinion,DK/No opinion, , , , ,Support,No, ,Would not move, ,(VOL) DK/No Opinion,DK/No opinion,Hate it,Dislike NET,the Washington Football Team,Oppose,Favor,Favor,(VOL) NA/Refused, ,Post graduate, ,some college +,college degree,post-graduate degree,89, ,Age 65+,Black,black,(VOL) NA/Refused, ,82,No, ,Landline Only,male,Male,English,FL,Virtual Call Center,.4310609,All adults,Non-white,Age 65+,50+,College, , , , ,Nonwhite men,Black college, ,99,No kids at home,20210214,20+ years, 
